,Unnamed: 0,KID,Prot,Kepmag,B-V,Scatter,Var,Notes1,Notes2,Notes3
398,398,11519569,18.648,15.397,0.56,2.61,Faculae,0,0,0
399,399,11521365,9.875,15.091,0.682,9.25,Spots,0,0,1
400,400,11547790,16.206,14.327,0.648,3.54,Spots,0,0,0
401,401,11599304,5.216,15.112,0.614,8.37,Spots,0,0,0
402,402,11603199,7.143,14.111,0.618,11.05,Spots,0,0,0
403,403,11606040,19.467,11.407,0.6409999999999999,1.37,,0,0,1
404,404,11606103,18.33,15.134,0.687,2.84,Spots,0,0,0
405,405,11611131,6.992000000000001,13.858,0.613,4.37,Spots,0,0,1
406,406,11615736,16.72,12.35,0.598,2.2,Spots,0,0,0
407,407,11618709,18.564,11.927,0.565,0.89,Faculae,0,0,1
408,408,11619844,18.837,14.628,0.65,2.55,Spots,0,0,1
409,409,11649221,16.968,12.229,0.602,2.37,Spots,0,0,0
410,410,11656715,10.248,14.914,0.569,3.24,,0,0,1
411,411,11667335,4.081,12.489,0.5489999999999999,10.41,,0,0,1
412,412,11668560,14.524,12.845999999999998,0.607,6.33,Spots,0,0,1
413,413,11671500,6.566,13.970999999999998,0.619,4.68,Spots,0,0,1
414,414,11701822,15.768,14.699000000000002,0.6579999999999999,3.04,Spots,0,0,0
415,415,11703566,18.907,15.175999999999998,0.6609999999999999,3.99,Spots,0,0,0
416,416,11706689,5.4110000000000005,13.892,,6.21,Spots,0,0,0
417,417,11708650,12.213,13.333,0.61,9.27,Spots,0,0,0
418,418,11713799,2.425,15.379,0.603,12.12,Spots,0,0,0
419,419,11760235,10.129,14.206,0.659,5.77,,0,0,0
420,420,11768525,16.229,13.534,0.614,3.65,Spots,0,0,0
421,421,11769443,8.934,12.877,3.84,,Spots,0,0,0
422,422,11807397,11.741,13.484000000000002,0.635,11.41,Spots,0,0,0
423,423,11820958,12.935,12.825,0.662,7.59,,0,0,1
424,424,11821247,20.358,15.218,0.706,3.25,Spots,0,0,0
425,425,11824220,8.769,12.277,0.593,6.94,Spots,0,0,1
426,426,11853243,19.162,13.767,0.6409999999999999,3.6,Spots,0,0,0
427,427,11870569,9.599,15.069,0.5589999999999999,7.61,,0,0,1
428,428,11873617,15.73,12.447,0.66,5.94,Spots,0,1,1
429,429,11910377,13.966,13.226,0.618,4.35,Spots,0,0,1
430,430,11913675,16.209,15.484000000000002,0.67,7.68,Spots,0,0,0
431,431,11919907,20.844,14.678,0.6409999999999999,2.43,Spots,0,0,0
432,432,11921437,12.429,14.072,0.647,4.44,Spots,0,0,0
433,433,11960342,13.584,14.999,0.674,4.72,Spots,0,0,0
434,434,11960916,25.863000000000003,13.342,0.608,1.93,,0,0,0
435,435,11969083,11.943,11.523,0.527,2.18,Spots,0,0,0
436,436,11972605,6.8660000000000005,15.428,0.627,9.0,Spots,0,0,0
437,437,11975373,13.152,13.777,0.602,4.57,Spots,0,0,1
438,438,12008910,10.392,14.77,0.622,6.71,Spots,0,0,0
439,439,12010509,17.03,14.261,0.6759999999999999,2.34,Spots,0,0,1
440,440,12011636,18.371,14.417,0.598,1.45,Spots,0,0,0
441,441,12018010,20.472,14.31,0.684,2.11,,0,0,0
442,442,12019465,10.34,13.861,0.622,7.23,Spots,0,0,0
443,443,12059936,8.458,13.524,0.68,6.0,Spots,0,0,1
444,444,12061108,22.076,13.421,0.5920000000000001,0.86,Faculae,0,0,0
445,445,12062079,21.139,13.927,0.662,2.14,Faculae,0,0,0
446,446,12062118,5.769,15.827,0.706,8.92,,0,0,0
447,447,12105086,12.043,13.144,0.6609999999999999,6.94,Spots,0,0,0
448,448,12108638,21.499,14.688,0.733,3.8,Spots,0,0,1
449,449,12119601,21.896,14.236,0.616,2.67,Spots,0,0,0
450,450,12307301,13.423,13.142,0.642,4.14,Spots,0,0,0
451,451,12315267,4.188,15.062,0.606,14.28,Spots,0,0,0
452,452,12366495,8.171,12.555,0.6,5.27,,0,0,0
453,453,12417702,17.689,14.969,0.698,6.01,Spots,0,0,0
454,454,12417799,13.354,15.327,0.65,8.95,Spots,0,1,0
455,455,12418678,5.681,15.061,0.621,10.87,Spots,0,0,0
456,456,12454402,10.605,10.464,1.93,,Spots,0,0,0
457,457,12555818,16.564,13.755999999999998,0.617,3.33,Spots,0,0,0
458,458,12556304,12.892,13.091,0.608,7.32,Spots,0,0,0
459,459,12599166,20.546,13.898,0.615,4.95,Spots,0,0,0
460,460,12602592,6.319,12.696,0.594,3.79,Spots,0,0,0
461,461,12645327,11.216,14.35,0.612,8.87,Spots,0,0,0
462,462,12690265,13.588,12.357,0.6,2.74,Spots,0,0,0
